Ticker,Key,Climate/Clean Tech,Pollution/Toxics,Environment/Other,Community Development,Diversity & EEO,Human Rights,Labor Relations,Conflict Risk,Board Issues,Executive Pay,E,E,E,E,E,E,E
SSIAX,1919 Socially Responsive Balanced Fund - A,C,R,C,C,C,C,C,R,C,C,--,--,R,--,R,--,
SESLX,1919 Socially Responsive Balanced Fund - C,C,R,C,C,C,C,C,R,C,C,--,--,R,--,R,--,
LMRNX,1919 Socially Responsive Balanced Fund - I,C,R,C,C,C,C,C,R,C,C,--,--,R,--,R,--,
ACASX,Access Capital Community Investment Fund A,-- *,X,--,P,--,--,--,X,--,--,X,X,X,X,X,,--
ACCSX,Access Capital Community Investment Fund I,-- *,--,--,P,--,--,--,X,--,--,X,X,X,X,X,,--
REDWX,Aspiration Redwood Fund,P,P,P,P,P,P,P,X,P,P,X,X,X,X,X,,--
BVSIX,Baywood SociallyResponsible Fund,C,C,C,--,C,C,C,C,C,C,R,C,R,C,R,,--
CAAAX,Calvert Aggressive Allocation Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CAACX,Calvert Aggressive Allocation Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CSIFX,Calvert Balanced Portfolio A,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R,,
CSGCX,Calvert Balanced Portfolio C,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R,,
CBAIX,Calvert Balanced Portfolio I,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R,,
CSIBX,Calvert Bond Portfolio A,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R,,
CSBCX,Calvert Bond Portfolio C,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R,,
CBDIX,Calvert Bond Portfolio I,C,C,C,P,C,C,C,X,C,C,C,--,C,R,R,,
CCAFX,Calvert Capital Accumulation Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CCACX,Calvert Capital Accumulation Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CCPIX,Calvert Capital Accumulation Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CCLAX,Calvert Conservative Allocation Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CALCX,Calvert Conservative Allocation Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CVMAX,Calvert Emerging Markets Equity Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CVMCX,Calvert Emerging Markets Equity Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CVMIX,Calvert Emerging Markets Equity Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CSIEX,Calvert Equity Portfolio A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CSECX,Calvert Equity Portfolio C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CEYIX,Calvert Equity Portfolio I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CGAEX,Calvert Global Energy Solutions Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CGACX,Calvert Global Energy Solutions Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CAEIX,Calvert Global Energy Solutions Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CFWAX,Calvert Global Water Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CFWCX,Calvert Global Water Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CFWIX,Calvert Global Water Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CGAFX,Calvert Green Bond Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CGBIX,Calvert Green Bond Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CYBAX,Calvert High Yield Bond Fund A,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R,--,--
CHBCX,Calvert High Yield Bond Fund C,C,C,C,C,C,--,C,--,C,C,R,R,R,R,R,--,--
CYBIX,Calvert High Yield Bond Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CFICX,Calvert Income Fund A,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R,--,--
CIFCX,Calvert Income Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CINCX,Calvert Income Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CWVGX,Calvert International Equity Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CWVCX,Calvert International Equity Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CWVIX,Calvert International Equity Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
COIIX,Calvert International Opportunities Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
COICX,Calvert International Opportunities Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,C,R,--,
COIIX,Calvert International Opportunities Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,C,R,--,
CLDAX,Calvert Long-Term Income Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CLDIX,Calvert Long-Term Income Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CMAAX,Calvert Moderate Allocation Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CMACX,Calvert Moderate Allocation Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
CSDAX,Calvert Short Duration Income Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CDICX,Calvert Short Duration Income Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CDSIX,Calvert Short Duration Income Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CCVAX,Calvert Small Cap Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,
