Name,Ticker,Morningstar Sustainability Rating,Yield (%),Morningstar Category,Portfolio Sustainability Score,Portfolio Environmental Score,Portfolio Social Score,Portfolio Governance Score,Sustainable Investment by Prospectus,Sustainable Investment - ESG Fund,Sustainable Investment - Impact Fund,Sustainable Investment - Environmental Sector Fund,Animal Testing,% Alcohol,% Fossil Fuels,% Small Arms,% Thermal Coal,% Tobacco,YTD Return (%),1 Year Annualized (%),3 Years Annualized (%),5 Years Annualized (%),10 Years Annualized (%),Fund Size (Mil),Equity StyleBox,Fixed Income StyleBox,Average Market Cap (Mil),Average Credit Quality
AB Sustainable Intl Thematic C,AWPCX,3,0,Global Equity Large Cap,20.67,4.21,8.13,6.92,Yes,Yes,Yes,No,0,0,3.73,0,1.9,0,8.22,24.74,19.32,12.27,7.5,941.47,Large Growth,,"32,187.09",BBB
AB Sustainable Thematic Credit A,STHAX,5,,US Fixed Income,21.27,3.39,8.11,6.78,Yes,Yes,Yes,No,0,0,8.24,0,2.25,0,8.22,24.74,19.32,12.27,7.5,174.22,,,"32,187.09",BBB
AB Sustainable Thematic Credit Advisor,STHYX,5,,US Fixed Income,21.27,3.39,8.11,6.78,Yes,Yes,Yes,No,0,0,8.24,0,2.25,0,8.22,24.74,19.32,12.27,7.5,174.22,,,"32,187.09",BBB
Aberdeen International Sust Ldrs A,BJBIX,3,0.54,Global Equity Large Cap,20.99,3.31,8.61,6.6,Yes,Yes,No,No,0,0,2.33,0,2.34,0,11.74,34.2,16.19,11.93,6.09,146.06,Large Growth,,"36,331.08",BBB
Aberdeen International Sust Ldrs I,JIEIX,3,0.83,Global Equity Large Cap,20.99,3.31,8.61,6.6,Yes,Yes,No,No,0,0,2.33,0,2.34,0,11.99,34.56,16.49,12.2,6.36,146.06,Large Growth,,"36,331.08",BBB
Aberdeen US Sust Ldrs Smlr Coms A,MLSAX,1,0,US Equity Large Cap Growth,25.46,2.49,4.2,3.03,Yes,Yes,No,No,0,0,1.38,0,0,0,28.06,53.27,26.72,19.31,10.61,21.34,Mid Growth,,"6,832.72",BBB
Aberdeen US Sust Ldrs Smlr Coms C,MLSCX,1,0,US Equity Large Cap Growth,25.46,2.49,4.2,3.03,Yes,Yes,No,No,0,0,1.38,0,0,0,26.89,51.76,25.77,18.41,9.82,21.34,Mid Growth,,"6,832.72",BBB
Aberdeen US Sust Ldrs Smlr Coms Instl,GGUIX,1,0,US Equity Large Cap Growth,25.46,2.49,4.2,3.03,Yes,Yes,No,No,0,0,1.38,0,0,0,28.39,53.85,27.15,19.73,10.98,21.34,Mid Growth,,"6,832.72",BBB
Aberdeen US Sust Ldrs Smlr Coms InstlSvc,AELSX,1,0,US Equity Large Cap Growth,25.46,2.49,4.2,3.03,Yes,Yes,No,No,0,0,1.38,0,0,0,28.21,53.56,26.96,19.54,10.76,21.34,Mid Growth,,"6,832.72",BBB
Aberdeen US Sust Ldrs Smlr Coms R,GLSRX,1,0,US Equity Large Cap Growth,25.46,2.49,4.2,3.03,Yes,Yes,No,No,0,0,1.38,0,0,0,27.54,52.76,26.37,18.94,10.22,21.34,Mid Growth,,"6,832.72",BBB
Aberdeen US Sustainable Leaders A,GXXAX,3,0,US Equity Large Cap Growth,21.86,3.23,7.17,5.31,Yes,Yes,No,No,0,0,3.14,0,0,0,23.19,41.35,25,20.33,14.78,539.9,Mid Growth,,"33,592.88",BBB
Aberdeen US Sustainable Leaders C,GXXCX,3,0,US Equity Large Cap Growth,21.86,3.23,7.17,5.31,Yes,Yes,No,No,0,0,3.14,0,0,0,22.4,40.2,24.08,19.46,13.95,539.9,Mid Growth,,"33,592.88",BBB
Aberdeen US Sustainable Leaders Instl,GGLIX,3,0,US Equity Large Cap Growth,21.86,3.23,7.17,5.31,Yes,Yes,No,No,0,0,3.14,0,0,0,23.57,41.77,25.37,20.69,15.13,539.9,Mid Growth,,"33,592.88",BBB
Aberdeen US Sustainable Leaders InstlSvc,GXXIX,3,0,US Equity Large Cap Growth,21.86,3.23,7.17,5.31,Yes,Yes,No,No,0,0,3.14,0,0,0,23.43,41.61,25.27,20.58,15.03,539.9,Mid Growth,,"33,592.88",BBB
Amana Income Institutional,AMINX,2,1.12,US Equity Large Cap Blend,20.88,4.82,9.3,6.76,Yes,Yes,No,No,0,0,2.95,0,0,0,14.46,29.73,17.3,14.66,12.38,"1,638.98",Large Core,,"132,921.73",BBB
Amana Income Investor,AMANX,2,0.83,US Equity Large Cap Blend,20.88,4.82,9.3,6.76,Yes,Yes,No,No,0,0,2.95,0,0,0,14.25,29.46,17.05,14.41,12.17,"1,638.98",Large Core,,"132,921.73",BBB
American Beacon Ttfr Sust Sht Tm Bd A,TFBAX,2,2.89,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,Yes,No,1,0,3.24,0,0,0,0.37,1.65,17.05,14.41,12.17,10.62,,Low Limited,"132,921.73",BB
American Beacon Ttfr Sust Sht Tm Bd C,TFBCX,2,2.77,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,Yes,No,1,0,3.24,0,0,0,-0.29,0.89,17.05,14.41,12.17,10.62,,Low Limited,"132,921.73",BB
